num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points
1,8,1,0,科學方法與進入實驗室,1,科學方法與進入實驗室,科學方法流程、實驗設計與變因、實驗室安全、實驗器材操作
2,8,1,1,生命的特性,1,生命現象,生命現象、生物生存條件、顯微鏡類型與構造、顯微鏡操作與成像原理、細胞學說
3,8,1,1,生命的特性,2,細胞,細胞構造、細胞功能、動植物細胞差異、細胞類型、細胞觀察
4,8,1,1,生命的特性,3,細胞所需的物質,擴散作用、滲透作用、細胞膜特性、細胞壁作用、細胞在溶液中的反應
5,8,1,1,生命的特性,4,從細胞到個體,顯微鏡操作與觀察、單細胞與多細胞生物特性、生物體組成層次與器官系統
6,8,1,2,養分,1,食物中的養分,食物熱量計算、三大產能營養素、非產能營養素、營養素檢測、營養素功能與缺乏症
7,8,1,2,養分,2,酵素,酵素、酵素活性影響因子、代謝作用、物質檢測
8,8,1,2,養分,3,植物如何獲得養分,光合作用、葉片構造與功能、光合作用實驗、植物養分製造與儲存
9,8,1,2,養分,4,動物如何獲得養分,消化系統器官、消化液與酵素、養分分解與吸收、物質代謝
10,8,1,3,生物的運輸與防禦,1,植物的運輸構造,維管束、木質部、韌皮部、形成層、年輪
11,8,1,3,生物的運輸與防禦,2,植物體內物質的運輸,植物體內物質運輸、蒸散作用、光合作用、根部功能
12,8,1,3,生物的運輸與防禦,3,人體內物質的運輸,循環系統、心臟構造與功能、血管種類與特性、血液組成與功能、物質交換、淋巴系統
13,8,1,3,生物的運輸與防禦,4,人體的防禦作用,非專一性防禦、專一性防禦、疫苗原理
14,8,1,4,生物的協調作用,1,神經系統,神經系統組成、中樞神經功能分區、神經傳導途徑、反射與意識行為、感覺與視覺現象
15,8,1,4,生物的協調作用,2,內分泌系統,神經系統、內分泌系統、激素、內分泌腺體、血糖濃度調節、生長發育與代謝、第二性徵
16,8,1,4,生物的協調作用,3,生物的感應,動物行為類型、神經與內分泌系統、動物趨性、植物向性、植物感應運動、植物光週期
17,8,1,5,生物的恆定性,1,恆定性與體溫的恆定,恆定性、體溫調節、內外溫動物、物質恆定與器官系統
18,8,1,5,生物的恆定性,2,呼吸與氣體的恆定,呼吸作用、呼吸運動、呼吸系統與器官、呼吸調節、氣體交換、呼出氣體成分
