chapter_name,section_num,section_name,knowledge_points
基本測量,1,實驗室安全,常用儀器、實驗安全
基本測量,2,長度體積的測量,測量紀錄、長度測量、體積測量
基本測量,3,質量的測量,質量、天平、質量測量
基本測量,4,密度的測量,密度、密度計算、沉浮關係、混合密度
認識物質,1,認識物質,能量、物質分類、物理化學變化、物理性質、物質分離法
認識物質,2,溶液,溶液性質、溶液種類、濃度、飽和溶液、溶解度
認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法、氧氣製備、二氧化碳製備
波動與聲音,1,波的傳播,波的性質、波的種類、波的名詞、波的公式
波動與聲音,2,聲音,聲波的構成、聲波的性質
波動與聲音,3,回聲和超聲波,反射、回聲的性質、超聲波、聲波的應用
波動與聲音,4,聲音的變化,樂音、樂音三要素、樂器、聲波的共振
光學,1,光的直線前進,光的特性、光的傳播、直進性、針孔成像、光速
光學,2,反射與面鏡,反射定律、平面鏡的成像、凹面鏡、凸面鏡
光學,3,折射與透鏡,光速的變化、折射定律、凸透鏡、凹透鏡
光學,4,光學儀器,放大鏡成像、顯微鏡成像、相機成像、眼睛成像
光學,5,光與顏色,光的色散、光的三原色、物體顏色、紅外光與紫外光
熱學,1,溫度與溫度計,溫度計種類、測量原理、溫標、測量範圍
熱學,2,熱量與比熱,熱量、熱平衡、比熱、單位換算
熱學,3,熱的傳播方式,傳導、對流、輻射、生活應用
熱學,4,熱對物質的影響,物理變化、化學變化、熱脹冷縮、水的特殊現象
元素與原子,1,元素與化合物,純物質、元素、化合物、混合物
元素與原子,2,認識元素,元素的命名、常見金屬元素、常見非金屬元素、常見氣體
元素與原子,3,物質結構與原子,原子結構、質子、中子、電子
元素與原子,4,週期表,元素分類、族與週期、原子序
元素與原子,5,分子與化學式,分子種類、化學式、實驗式、示性式、結構式
化學反應,1,常見的化學反應,化學反應、常見反應
化學反應,2,質量守恆定律,質量守恆定律
化學反應,3,反應式與化學計量,原子量、分子量、莫耳、計量
氧化還原反應,1,氧化反應與活性,氧化反應、氧化物、物質燃燒
氧化還原反應,2,氧化與還原,還原反應、金屬活性、氧化還原
氧化還原反應,3,生活中的氧化還原,氧化還原的應用、煉鐵
電解質與酸鹼鹽,1,電解質,電解質、離子、解離說、莫耳濃度
電解質與酸鹼鹽,2,酸和鹼,酸、鹼、常見酸鹼
電解質與酸鹼鹽,3,酸鹼程度的表示,pH 值、酸鹼判斷、影響 pH 值的因素
電解質與酸鹼鹽,4,酸鹼中和反應,鹽的生成、鹽的酸鹼、常見鹽類、酸鹼中和計算
反應速率與平衡,1,反應速率,反應速率定義、影響反應速率的因素、催化劑
反應速率與平衡,2,可逆反應與平衡,可逆反應、動態平衡、影響平衡的因素
有機化合物,1,認識有機化合物,有機化合物定義、有機化合物的種類、天然氣與液化石油氣
有機化合物,2,常見的有機化合物,同分異構物、烴類、醇類、有機酸、酯類
有機化合物,3,聚合物與衣料纖維,聚合物、聚合物種類、衣料纖維
有機化合物,4,有機物在生活中的應用,肥皂與清潔劑、皂化反應
力與壓力,1,力與平衡,力的種類、力的單位、力的三要素、兩力平衡、力的測量
力與壓力,2,摩擦力,摩擦力、影響摩擦力的因素、動摩擦力、靜摩擦力
力與壓力,3,壓力,壓力、固體壓力、液體壓力、氣壓
力與壓力,4,浮力,浮力、液體中的沉浮、浮力的應用
直線運動,1,單擺的等時性,時間的單位、單擺、等時性
直線運動,2,位移與路徑長,位置、位移、路徑長
直線運動,3,速率與速度,速率、速度、等速運動
直線運動,4,加速度,加速度、等加速度運動
力與運動,1,牛頓第一運動定律,牛頓第一運動定律
力與運動,2,牛頓第二運動定律,牛頓第二運動定律
力與運動,3,牛頓第三運動定律,牛頓第三運動定律
力與運動,4,圓周運動和萬有引力,萬有引力、圓周運動
功與能,1,功與功率,功的定義、功與能的關係、功率
功與能,2,動能、位能與能量守恆,動能、位能、力學能守恆
功與能,3,力矩,力矩、功和力矩的比較、靜力平衡
功與能,4,簡單機械,機械、機械性質、輪軸、滑輪、斜面、螺旋
電學,1,靜電,靜電、庫侖定律、摩擦起電、接觸起電、感應起電
電學,2,電路與電壓,基本電路、電壓
電學,3,電流,電流、電流測量、電壓測量
電學,4,電阻,電阻、歐姆定率、電阻計算
電流的化學效應,1,伏打電池,電池結構、伏打電池、電極判斷
電流的化學效應,2,生活中的電池,一次電池、二次電池、鋰電池、鉛蓄電池
電流的化學效應,3,電流的化學效應,電解、電鍍
電流的熱效應,1,電流的熱效應,電熱效應
電流的熱效應,2,電與生活,電功率、能源分類、發電、生活用電、用電安全
電流的磁效應,1,磁鐵與磁場,磁鐵、磁場、磁力線、磁化
電流的磁效應,2,電流磁效應,電流磁效應、安培右手
電流的磁效應,3,電磁鐵、電動機與電話,右手開掌定則、電磁鐵、電動機、電話
電流的磁效應,4,電磁感應,電磁感應、發電機、變壓器
